body,label
"Dear user, your PayPal account has been suspended. Please verify your account immediately by clicking http://bit.ly/verify",1
We detected unusual activity on your Apple ID. Confirm your identity at https://apple-login-secure.com,1
Urgent: A login attempt was blocked. Verify now to restore access.,1
Your package could not be delivered. Please see attached invoice.,1
Your mailbox has exceeded the storage limit. Upgrade now to avoid suspension.,1
"Hi team, just a reminder that our weekly meeting is scheduled for tomorrow at 10 AM.",0
Please find the updated project timeline in the shared folder.,0
Your leave request has been approved. Enjoy your time off.,0
Check out our latest products and discounts this month.,0
This email confirms your recent payment. Thank you for your business.,0
